co,id2_intermedio,id3_intermedio
0200300721X,5066,9824
0200300722X,5067,9825
0200300723X,5068,9826
0200300724X,5069,9827
0200300725X,5070,9828
0200300726X,5071,9829
0200300727X,5072,9830
0200300728X,5073,9831
0200300729X,5074,9832
0200300730X,5075,9833
0200300731X,5076,9834
0200300732X,5077,9835
0200300733X,5078,9836
0200300734X,5079,9837
0200300735X,5080,9838
0200300736X,5081,9839
0200300737X,5082,9840
0200300738X,5083,9841
0200300739X,5084,9842
0200300740X,5085,9843
0200300741X,5086,9844
0200300742X,5087,9845
0200300743X,5088,9846
0200300744X,5089,9847
0200300745X,5090,9848
0200300746X,5091,9849
0200300747X,5092,9850
0200300748X,5093,9851
0200300749X,5094,9852
0200300750X,5095,9853
0200300751X,5096,9854
0200300752X,5097,9855
0200300753X,5098,9856
0200300754X,5099,9857
0200300755X,5100,9858
0200300756X,5101,9859
0200300757X,5102,9860
0200300758X,5103,9861
0200300759X,5104,9862
0200300760X,5105,9863
0200300761X,5106,9864
0200300762X,5107,9865
0200300763X,5108,9866
0200300764X,5109,9867
0200300765X,5110,9868
0200300766X,5111,9869
0200300767X,5112,9870
0200300768X,5113,9871
0200300769X,5114,9872
0200300770X,5115,9873
0200300771X,5116,9874
0200300772X,5117,9875
0200300773X,5118,9876
0200300774X,5119,9877
0200300775X,5120,9878
0200300776X,5121,9879
0200300777X,5122,9880
0200300778X,5123,9881
0200300779X,5124,9882
0200300780X,5125,9883
0200300781X,5126,9884
0200300782X,5127,9885
0200300783X,5128,9886
0200300784X,5129,9887
0200300785X,5130,9888
0200300786X,5131,9889
0200300787X,5132,9890
0200300788X,5133,9891
0200300789X,5134,9892
0200300790X,5135,9893
0200300791X,5136,9894
0200300792X,5137,9895
0200300793X,5138,9896
0200300794X,5139,9897
0200300795X,5140,9898
0200300796X,5141,9899
0200300797X,5142,9900
0200300798X,5143,9901
0200300799X,5144,9902
0200300800X,5145,9903
0200300801X,5146,9904
0200300802X,5147,9905
0200300803X,5148,9906
0200300804X,5149,9907
0200300805X,5150,9908
0200300806X,5151,9909
0200300807X,5152,9910
0200300808X,5153,9911
0200300809X,5154,9912
0200300810X,5155,9913
0200300811X,5156,9914
0200300812X,5157,9915
0200300813X,5158,9916
0200300814X,5159,9917
0200300815X,5160,9918
0200300816X,5161,9919
0200300817X,5162,9920
0200300818X,5163,9921
0200300819X,5164,9922
0200300820X,5165,9923
0200300821X,5166,9924
0200300822X,5167,9925
0200300823X,5168,9926
0200300824X,5169,9927
0200300825X,5170,9928
0200300826X,5171,9929
0200300827X,5172,9930
0200300828X,5173,9931
0200300829X,5174,9932
0200300830X,5175,9933
0200300831X,5176,9934
0200300832X,5177,9935
0200300833X,5178,9936
0200300834X,5179,9937
0200300835X,5180,9938
0200300836X,5181,9939
0200300837X,5182,9940
0200300838X,5183,9941
0200300839X,5184,9942
0200300840X,5185,9943
0200300841X,5186,9944
0200300842X,5187,9945
0200300843X,5188,9946
0200300844X,5189,9947
0200300845X,5190,9948
0200300846X,5191,9949
0200300847X,5192,9950
0200300848X,5193,9951
0200300849X,5194,9952
0200300850X,5195,9953
0200300851X,5196,9954
0200300852X,5197,9955
0200300853X,5198,9956
0200300854X,5199,9957
0200300855X,5200,9958
0200300856X,5201,9959
0200300857X,5202,9960
0200300858X,5203,9961
0200300859X,5204,9962
0200300860X,5205,9963
0200300861X,5206,9964
0200300862X,5207,9965
0200300863X,5208,9966
0200300864X,5209,9967
0200300865X,5210,9968
0200300866X,5211,9969
0200300867X,5212,9970
0200300868X,5213,9971
0200300869X,5214,9972
0200300870X,5215,9973
0200300871X,5216,9974
0200300872X,5217,9975
0200300873X,5218,9976
0200300874X,5219,9977
0200300875X,5220,9978
0200300876X,5221,9979
0200300877X,5222,9980
0200300878X,5223,9981
0200300879X,5224,9982
0200300880X,5225,9983
0200300881X,5226,9984
0200300882X,5227,9985
0200300883X,5228,9986
0200300884X,5229,9987
0200300885X,5230,9988
0200300886X,5231,9989
0200300887X,5232,9990
0200300888X,5233,9991
0200300889X,5234,9992
0200300890X,5235,9993
0200300891X,5236,9994
0200300892X,5237,9995
0200300893X,5238,9996
0200300894X,5239,9997
0200300895X,5240,9998
0200300896X,5241,9999
0200300897X,5242,10000
0200300898X,5243,10001
0200300899X,5244,10002
0200300900X,5245,10003
0200300901X,5246,10004
0200300902X,5247,10005
0200300903X,5248,10006
0200300904X,5249,10007
0200300905X,5250,10008
0200300906X,5251,10009
0200300907X,5252,10010
0200300908X,5253,10011
0200300909X,5254,10012
0200300910X,5255,10013
0200300911X,5256,10014
0200300912X,5257,10015
0200300913X,5258,10016
0200300914X,5259,10017
0200300915X,5260,10018
0200300916X,5261,10019
0200300917X,5262,10020
0200300918X,5263,10021
0200300919X,5264,10022
0200300920X,5265,10023
0200300921X,5266,10024
0200300922X,5267,10025
0200300923X,5268,10026
0200300924X,5269,10027
0200300925X,5270,10028
0200300926X,5271,10029
0200300927X,5272,10030
0200300928X,5273,10031
0200300929X,5274,10032
0200300930X,5275,10033
0200300931X,5276,10034
0200300932X,5277,10035
0200300933X,5278,10036
0200300934X,5279,10037
0200300935X,5280,10038
0200300936X,5281,10039
0200300937X,5282,10040
0200300938X,5283,10041
0200300939X,5284,10042
0200300940X,5285,10043
0200300941X,5286,10044
0200300942X,5287,10045
0200300943X,5288,10046
0200300944X,5289,10047
0200300945X,5290,10048
0200300946X,5291,10049
0200300947X,5292,10050
0200300948X,5293,10051
0200300949X,5294,10052
0200300950X,5295,10053
0200300951X,5296,10054
0200300952X,5297,10055
0200300953X,5298,10056
0200300954X,5299,10057
0200300955X,5300,10058
0200300956X,5301,10059
0200300957X,5302,10060
0200300958X,5303,10061
0200300959X,5304,10062
0200300960X,5305,10063
0200300961X,5306,10064
0200300962X,5307,10065
0200300963X,5308,10066
0200300964X,5309,10067
0200300965X,5310,10068
0200300966X,5311,10069
0200300967X,5312,10070
0200300968X,5313,10071
0200300969X,5314,10072
0200300970X,5315,10073
0200300971X,5316,10074
0200300972X,5317,10075
0200300973X,5318,10076
0200300974X,5319,10077
0200300975X,5320,10078
0200300976X,5321,10079
0200300977X,5322,10080
0200300978X,5323,10081
0200300979X,5324,10082
0200300980X,5325,10083
0200300981X,5326,10084
0200300982X,5327,10085
0200300983X,5328,10086
0200300984X,5329,10087
0200300985X,5330,10088
0200300986X,5331,10089
0200300987X,5332,10090
0200300988X,5333,10091
0200300989X,5334,10092
0200300990X,5335,10093
0200300991X,5336,10094
0200300992X,5337,10095
0200300993X,5338,10096
